,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Revenue,134902.0,116609.0,117929.0,85965.0,70697.0,55838.0
Total Revenue,134902.0,116609.0,117929.0,85965.0,70697.0,55838.0
"Cost of Revenue, Total",26006.0,23754.0,22649.0,16692.0,12770.0,9355.0
Gross Profit,108896.0,92855.0,95280.0,69273.0,57927.0,46483.0
"Selling/General/Admin. Expenses, Total",22204.0,25681.0,23872.0,18155.0,15341.0,11297.0
Research & Development,36489.0,33619.0,24655.0,18447.0,13600.0,10273.0
Unusual Expense (Income),3452.0,4611.0,,,5000.0,
Total Operating Expense,88151.0,87665.0,71176.0,53294.0,46711.0,30925.0
Operating Income,46751.0,28944.0,46753.0,32671.0,23986.0,24913.0
"Interest Inc.(Exp.),Net-Non-Op., Total",827.0,195.0,321.0,543.0,799.0,439.0
"Other, Net",-150.0,-320.0,210.0,-34.0,27.0,9.0
Net Income Before Taxes,47428.0,28819.0,47284.0,33180.0,24812.0,25361.0
Provision for Income Taxes,7755.0,5258.0,7914.0,4034.0,6327.0,3249.0
Net Income After Taxes,39673.0,23561.0,39370.0,29146.0,18485.0,22112.0
Net Income Before Extra. Items,39673.0,23561.0,39370.0,29146.0,18485.0,22112.0
Total Extraordinary Items,-575.0,-361.0,,,,
Net Income,39098.0,23200.0,39370.0,29146.0,18485.0,22112.0
Income Available to Com Excl ExtraOrd,39673.0,23561.0,39370.0,29146.0,18485.0,22111.0
Income Available to Com Incl ExtraOrd,39098.0,23200.0,39370.0,29146.0,18485.0,22111.0
Dilution Adjustment,0.0,0.0,0.0,0.0,0.0,1.0
Diluted Net Income,39098.0,23200.0,39370.0,29146.0,18485.0,22112.0
Diluted Weighted Average Shares,2629.0,2702.0,2859.0,2888.0,2876.0,2921.0
Diluted EPS Excluding ExtraOrd Items,15.09053,8.71984,13.77055,10.09211,6.42733,7.57001
Diluted Normalized EPS,16.18888,10.115,13.77055,10.09211,7.72254,7.57001
Total Adjustments to Net Income,,,,0.0,0.0,-1.0
DPS - Common Stock Primary Issue,,,,0.0,0.0,0.0
