,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Cash,6159.0,6495.0,6265.0,5333.0,6122.0
Cash & Equivalents,25886.0,25812.0,35597.0,31557.0,22663.0
Short Term Investments,26035.0,25813.0,23541.0,24233.0,24661.0
Cash and Short Term Investments,58080.0,58120.0,65403.0,61123.0,53446.0
"Accounts Receivable - Trade, Net",14505.0,13430.0,16169.0,12944.0,12511.0
"Total Receivables, Net",14505.0,13430.0,16169.0,12944.0,12511.0
Prepaid Expenses,3746.0,3696.0,3694.0,4159.0,3438.0
"Other Current Assets, Total",100.0,84.0,99.0,152.0,165.0
Total Current Assets,76431.0,75330.0,85365.0,78378.0,69560.0
"Property/Plant/Equipment, Total - Gross",155412.0,148373.0,143015.0,135653.0,129857.0
"Accumulated Depreciation, Total",-38395.0,-35910.0,-33134.0,-30848.0,-28953.0
"Property/Plant/Equipment, Total - Net",117017.0,112463.0,109881.0,104805.0,100904.0
"Goodwill, Net",20654.0,20654.0,20654.0,20668.0,20659.0
"Intangibles, Net",984.0,829.0,788.0,813.0,856.0
Long Term Investments,6207.0,6218.0,6141.0,6142.0,6208.0
"Other Long Term Assets, Total",8945.0,7350.0,6794.0,5468.0,8501.0
Total Assets,230238.0,222844.0,229623.0,216274.0,206688.0
Accounts Payable,3173.0,3785.0,5712.0,5142.0,3865.0
Accrued Expenses,15825.0,14544.0,17087.0,15850.0,15496.0
Notes Payable/Short Term Debt,0.0,0.0,0.0,0.0,0.0
"Other Current liabilities, Total",8006.0,9772.0,9071.0,9454.0,10379.0
Total Current Liabilities,27004.0,28101.0,31960.0,30531.0,29921.0
Long Term Debt,18389.0,18387.0,18385.0,18383.0,18382.0
Total Long Term Debt,18389.0,18387.0,18985.0,18957.0,18961.0
Total Debt,18389.0,18387.0,19075.0,19042.0,19142.0
"Other Liabilities, Total",28082.0,26827.0,25510.0,23913.0,23773.0
Total Liabilities,73475.0,73315.0,76455.0,73401.0,72655.0
"Common Stock, Total",0.0152,0.01522,0.01537,0.0154,0.0154
Additional Paid-In Capital,78270.0,75391.0,73253.0,71224.0,69159.0
Retained Earnings (Accumulated Deficit),81188.0,76793.0,82070.0,75205.0,67980.0
"Other Equity, Total",-2695.0152,-2655.01522,-2155.01537,-3556.0154,-3106.0154
Total Equity,156763.0,149529.0,153168.0,142873.0,134033.0
Total Liabilities & Shareholders' Equity,230238.0,222844.0,229623.0,216274.0,206688.0
Total Common Shares Outstanding,2533.0,2537.0,2561.0,2571.0,2573.0
"Tangible Book Value per Share, Common Eq",53.34583,50.47142,51.43538,47.21587,43.73028
Current Port. of  LT Debt/Capital Leases,,,90.0,85.0,181.0
Capital Lease Obligations,,,600.0,574.0,579.0
