,BVPS,CFSHR,SCEX,EBIT,EBS,EBITD,EPS,GPS,GROSMGN,NETDEBT,EIBT,ROEPCT,SREV,EV,DDPS1
2022Q3,47.41,3.67,7944.56,6111993000,4.22,11145.23,1.89,1.86,78.54,-43183.25,6265.55,16330000,27378.01,,
2022Q4,47.84,4.09,9760.86,7613081000,4.9,12887.11,2.22,2.23,79.44,-29025.4,7633.36,17660000,31529.32,,
2023Q1,49.22,3.82,7203.14,6511999000,4.83,11848.38,2.03,2.0,77.43,-40331.28,6595.4,18870000,27654.59,,
2023Q2,51.09,4.79,7502.9,9472164000,6.19,15725.95,2.92,2.89,80.1,-27466.62,9480.61,22230000,31125.31,1435926.68,
2023Q3,53.85,5.0,7197.75,11340861000,7.08,18240.04,3.63,3.59,80.46,-34855.72,11379.14,26770000,33562.25,2386065.6,
2023Q4,59.23,6.08,8280.19,15602016000,8.53,22547.18,4.96,4.97,80.82,-48675.0,15963.37,41044000,39177.38,2386065.6,
2024Q1,61.92,6.38,8128.89,13478968000,8.1,20456.44,4.32,4.33,79.66,-53896.42,13726.4,37946000,36165.44,,0.17
2024Q2,61.17,7.33,9448.46,14569817000,9.06,22297.08,4.73,4.71,81.16,-37026.79,14580.5,38821000,38310.59,,0.17
2024Q3,65.53,8.54,10979.34,15713876000,9.42,23982.25,5.21,5.2,81.22,-44134.4,16000.83,39925000,40130.1,,0.17
2024Q4,71.32,8.92,12328.04,19064398000,11.28,27643.88,6.32,6.31,80.84,-44253.94,19406.87,43611000,46093.64,,0.17
2025Q1,74.73,8.59,11852.4,15440309000,10.03,24257.41,5.21,5.19,80.09,-56314.31,15724.67,33900000,41363.83,,0.25
2025Q2,78.66,9.1,12445.85,17250074000,11.02,27018.6,5.79,5.78,80.05,-60426.0,17539.1,34930000,44444.15,,0.25
2025Q3,83.5,8.89,12138.53,17727310000,11.38,27222.55,6.01,6.02,80.0,-70671.21,18171.97,35730000,45631.37,,0.25
2025Q4,90.05,10.51,12247.46,21802838000,13.29,31973.32,7.36,7.35,79.99,-72846.47,22273.86,40040000,52435.97,,0.25
2026Q1,94.4,8.97,11215.32,17831000000,,28487.72,5.82,5.82,77.22,-90371.3,17865.56,29600000,46175.72,,0.5
2026Q2,93.36,9.63,11892.63,19455000000,,30387.55,6.3,6.3,77.8,-99854.6,19323.9,30770000,49226.03,,0.5
2026Q3,98.87,10.46,12262.92,20730000000,,32767.31,6.81,6.8,77.97,-114640.23,20846.32,32010000,50822.79,,0.5
2026Q4,106.01,12.39,13980.59,24178000000,,38181.45,8.18,8.17,78.28,-119460.63,24992.51,36840000,58135.94,,0.5
